ID,Downloaded,Spotify,Remake,Remake ID,Year,Rating,Song,Artists,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Artist 11,Christmas
1,,,,,2018,2,6:30,"Geko, NSG",Geko,NSG,,,,,,,,,,
2,,,,,2012,4,22,Taylor Swift,Taylor Swift,,,,,,,,,,,
3,,,,,2020,3,24.19,Childish Gambino,Childish Gambino,,,,,,,,,,,
4,,,,,2009,4,1901,Phoenix,Phoenix,,,,,,,,,,,
5,,,,,2018,5,1942,"G-Eazy, Yo Gotti, YBN Nahmir",G-Eazy,Yo Gotti,YBN Nahmir,,,,,,,,,
6,,,,,2004,3,1985,Bowling For Soup,Bowling For Soup,,,,,,,,,,,
7,,,,,2013,3,3005,Childish Gambino,Childish Gambino,,,,,,,,,,,
8,,,,,2007,4,"""The Take Over, The Break Over""",Fall Out Boy,Fall Out Boy,,,,,,,,,,,
9,,,,,2014,2,#SELFIE,The Chainsmokers,The Chainsmokers,,,,,,,,,,,
10,,,,,2014,2,#SELFIE - Instrumental Mix,The Chainsmokers,The Chainsmokers,,,,,,,,,,,
11,,,,,2017,2,$outh $ide $uicide,"$uicideBoy$, Pouya",$uicideBoy$,Pouya,,,,,,,,,,
12,,,,,1976,3,(Don't Fear) The Reaper,Blue Öyster Cult,Blue Öyster Cult,,,,,,,,,,,
13,,,,,,,(I Can't Get No) Satisfaction,The Rolling Stones,The Rolling Stones,,,,,,,,,,,
14,,,,,2019,3,(I'm Gonna) Love Me Again,"Elton John, Taron Egerton",Elton John,Taron Egerton,,,,,,,,,,
15,,,,,1999,3,(You Drive Me) Crazy,Britney Spears,Britney Spears,,,,,,,,,,,
16,,,,,1999,4,...Baby One More Time,Britney Spears,Britney Spears,,,,,,,,,,,
17,,,,,,,...To Be Loved,Papa Roach,Papa Roach,,,,,,,,,,,
18,,,,,2009,5,¿Viva La Gloria? (Little Girl),Green Day,Green Day,,,,,,,,,,,
19,Yes,No,Yes,20,2014,4,0 to 100 (Freestyle),G-Eazy,G-Eazy,,,,,,,,,,,
20,,,,,2014,5,0 To 100 / The Catch Up,Drake,Drake,,,,,,,,,,,
21,,,,,2002,2,03' Bonnie & Clyde,JAY-Z,JAY-Z,,,,,,,,,,,
22,,,,,2018,4,10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage",Metro Boomin,21 Savage,,,,,,,,,,
23,,,,,2015,2,100 (feat. Drake),"The Game, Drake",The Game,Drake,,,,,,,,,,
24,,,,,2015,4,100 Grandkids,Mac Miller,Mac Miller,,,,,,,,,,,
25,,,,,2011,3,100% In The Bitch,Porter Robinson,Porter Robinson,,,,,,,,,,,
26,,,,,2018,3,151 Rum,JID,JID,,,,,,,,,,,
27,,,,,2018,3,1985 - Intro to “The Fall Off”,J. Cole,J. Cole,,,,,,,,,,,
28,,,,,2018,2,1Night,"Stargate, PARTYNEXTDOOR, 21 Savage, Murda Beatz",Stargate,PARTYNEXTDOOR,21 Savage,Murda Beatz,,,,,,,,
29,,,,,2013,2,"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)","A$AP Rocky, Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson, Big K.R.I.T.",A$AP Rocky,Kendrick Lamar,Joey Bada$$,Yelawolf,Danny Brown,Action Bronson,Big K.R.I.T.,,,,,
30,,,,,2003,3,2 + 2 = 5,Radiohead,Radiohead,,,,,,,,,,,
31,,,,,2015,4,2 Heads,Coleman Hell,Coleman Hell,,,,,,,,,,,
32,,,,,2014,4,2 On (feat. ScHoolboy Q),Tinashe,Tinashe,,,,,,,,,,,
33,,,,,2016,2,2 Phones,Kevin Gates,Kevin Gates,,,,,,,,,,,
34,,,,,2020,5,2 Seater (feat. G-Eazy & Offset),"YBN Nahmir, G-Eazy, Offset",YBN Nahmir,G-Eazy,Offset,,,,,,,,,
35,,,,,1998,2,2 Times,Ann Lee,Ann Lee,,,,,,,,,,,
36,,,,,2018,2,2 Vaults (feat. Lil Yachty),"Tee Grizzley, Lil Yachty",Tee Grizzley,Lil Yachty,,,,,,,,,,
37,,,,,2009,3,21 Guns,Green Day,Green Day,,,,,,,,,,,
38,,,,,2015,3,2nd Hand,$uicideBoy$,$uicideBoy$,,,,,,,,,,,
39,,,,,2018,4,3 Nights,Dominic Fike,Dominic Fike,,,,,,,,,,,
40,,,,,2020,3,34+35,Ariana Grande,Ariana Grande,,,,,,,,,,,
41,,,,,2007,3,3's & 7's,Queens of the Stone Age,Queens of the Stone Age,,,,,,,,,,,
42,,,,,2018,3,44 More,Logic,Logic,,,,,,,,,,,
43,No,No,,,2015,3,5 Mo (feat. Travi$ Scott & Lil Durk),"French Montana, Travis Scott, Lil Durk",French Montana,Travis Scott,Lil Durk,,,,,,,,,
44,,,,,2013,5,5AM (Prod. C-Sick),Logic,Logic,,,,,,,,,,,
45,,,,,2011,3,6 Foot 7 Foot,"Lil Wayne, Cory Gunz",Lil Wayne,Cory Gunz,,,,,,,,,,
46,,,,,2017,4,6 Pack,Dune Rats,Dune Rats,,,,,,,,,,,
47,,,,,2016,4,679 & No Diggity,Jackson Breit,Jackson Breit,,,,,,,,,,,
48,,,,,2015,3,679 (feat. Remy Boyz),"Fetty Wap, Remy Boyz",Fetty Wap,Remy Boyz,,,,,,,,,,
49,,,,,2019,4,7 rings,Ariana Grande,Ariana Grande,,,,,,,,,,,
50,,,,,2014,3,711,Beyoncé,Beyoncé,,,,,,,,,,,
51,,,,,2011,2,9 Piece,"Rick Ross, Lil Wayne",Rick Ross,Lil Wayne,,,,,,,,,,
