ID,Local,Num_Duplicates,Rating,Song,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Date,Spot_Date,Re_Date,Duration,Album,Popularity,Dance,Energy,Key,Volume,Mode,Speech,Acoustic,Instrumental,Lively,Valence,Tempo,URI 1,URI 2,URI 3,URI 4,URI 5,Artist URI 1,Artist URI 2,Artist URI 3,Artist URI 4,Artist URI 5,Artist URI 6,Artist URI 7,Artist URI 8,Artist URI 9,Artist URI 10
2285,No,1,No Rating,Where Did You Sleep Last Night,Lead Belly,,,,,,,,,,1939,1939-09-03,Unknown,181893,The Tradition Masters: Lead Belly,54,0.57,0.241,4,-12.138,1,0.0473,0.948,0.0224,0.111,0.543,115.352,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3Ovf2lytXSXWFM2cwsJACC,,,,,,,,,
1358,No,1,4,Gymnopédie No. 1,Erik Satie,Philippe Entremont,,,,,,,,,1949,1949-01-01,Unknown,205867,Erik Satie & Friends,72,0.469,0.0128,7,-36.856,1,0.119,0.994,0.937,0.0941,0.354,72.765,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:459INk8vcC0ebEef82WjIK,spotify:artist:4x2fCu6MNErew0pb64yOBO,,,,,,,,
1593,No,1,No Rating,I Want a Hippopotamus for Christmas (Hippo the Hero),Gayla Peevey,,,,,,,,,,1953,1953-11-11,Unknown,155467,I Want a Hippopotamus for Christmas (Hippo the Hero),60,0.853,0.338,7,-9.124,1,0.0491,0.832,0.00602,0.135,0.927,113.881,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:1suIIDedjFJRuu8k7b55hZ,,,,,,,,,
1292,No,1,4,Hound Dog,Elvis Presley,,,,,,,,,,1953,1958-03-21,1953,136027,Elvis' Golden Records,69,0.494,0.756,0,-8.492,1,0.0499,0.733,0.00505,0.76,0.949,86.895,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,,,,,,,,,
3267,No,1,2,Mess Around,Ray Charles,,,,,,,,,,1953,1957-01-01,1953,160227,"Ray Charles (aka: Hallelujah, I Love Her So)",60,0.565,0.962,8,-2.981,1,0.064,0.437,0,0.056,0.906,148.808,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,,,,,,,,,
3872,No,2,4,Mister Sandman,The Chordettes,,,,,,,,,,1954,2012-06-11,1954,144039,Mr Sandman - All the Hits,40,0.615,0.407,9,-8.982,1,0.0461,0.824,0,0.119,0.55,108.56,spotify:track:4VsMart0lkjUtyQnmxloK6,spotify:track:6KJQ2dUyRlevBfFwXyqecu,,,,spotify:artist:62GnBjssWSXBlKvQohT2Bk,,,,,,,,,
3262,No,1,3,I Got a Woman,Ray Charles,,,,,,,,,,1954,2013-10-01,1954,171967,Essential Blues Anthems,46,0.6,0.507,9,-5.729,1,0.183,0.908,2.15E-05,0.124,0.731,198.488,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,,,,,,,,,
481,No,1,3,Rock Around the Clock,Bill Haley & His Comets,,,,,,,,,,1955,2011-11-01,1955,179987,Live Explosive Rock N' Roll,47,0.445,0.731,9,-11.044,1,0.333,0.859,0.31,0.775,0.951,180.067,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3MFp4cYuYtTZe3d3xkLLbr,,,,,,,,,
1290,No,1,4,Blue Suede Shoes,Elvis Presley,,,,,,,,,,1956,1956-03-23,1956,119200,Elvis Presley,65,0.557,0.66,2,-7.706,1,0.056,0.654,1.66E-06,0.138,0.962,95.252,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,,,,,,,,,
1291,No,1,4,Heartbreak Hotel,Elvis Presley,,,,,,,,,,1956,1958-03-21,1956,127560,Elvis' Golden Records,63,0.696,0.21,4,-11.922,1,0.067,0.84,1.62E-06,0.107,0.717,93.543,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,,,,,,,,,
