id,song,song_fil,artists,album,date_spot,local,time,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duplicates,uri0,uri1,uri2,dup_id,num_dup,ar_name0,ar_uri0,ar_name1,ar_uri1,ar_name2,ar_uri2,ar_name3,ar_uri3,ar_name4,ar_uri4,ar_name5,ar_uri5,ar_name6,ar_uri6
1,$outh $ide $uicide,_outh__ide__uicide,"$uicideboy$, Pouya",High Tide In The Snake's Nest,2015-06-15,No,169320,1,0.797,0.516,1,-6.286,1,0.0831,0.00538,0.431,0.0728,0.0477,109.997,spotify:track:4VsMart0lkjUtyQnmxloK6,"{'dup_id': -1, 'num_dup': 0}",spotify:track:4VsMart0lkjUtyQnmxloK6,,,-1.0,0.0,$uicideboy$,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,Pouya,spotify:artist:4nXOZlYoAD67hF9aUEncMY,,,,,,,,,,
2,The Downfall Of Us All,the_downfall_of_us_all,A Day To Remember,Homesick,2009-01-01,No,209093,72,0.588,0.881,0,-4.62,1,0.0666,0.000252,0.0,0.326,0.709,129.947,spotify:track:1KHKeIouP04dDtl0EetgED,"{'dup_id': 0, 'num_dup': 1, 'dup_loc0': 0, 'dup_loc1': 1}",spotify:track:6G7URf5rGe6MvNoiTtNEP7,spotify:track:1KHKeIouP04dDtl0EetgED,,0.0,1.0,A Day To Remember,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,,,,,,,,,,,,
3,"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",1train__feat__kendrick_lamar__joey_bada____yelawolf__danny_brown__action_bronson___big_k_r_i_t__,"A$AP Rocky, Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson, Big K.R.I.T.",LONG.LIVE.A$AP (Deluxe Version),2013-01-01,No,372173,68,0.489,0.878,2,-3.36,1,0.368,0.351,0.0,0.698,0.775,81.497,spotify:track:1eLU27PPFxBhbp1CBjPh9J,"{'dup_id': -1, 'num_dup': 0}",spotify:track:1eLU27PPFxBhbp1CBjPh9J,,,-1.0,0.0,A$AP Rocky,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Joey Bada$$,spotify:artist:2P5sC9cVZDToPxyomzF1UH,Yelawolf,spotify:artist:68DWke2VjdDmA75aJX5C57,Danny Brown,spotify:artist:7aA592KWirLsnfb5ulGWvU,Action Bronson,spotify:artist:7BMccF0hQFBpP6417k1OtQ,Big K.R.I.T.,spotify:artist:0CKa42Jqrc9fSFbDjePaXP
4,Adam's Song,adam_s_song,blink-182,Enema Of The State,1999-01-01,No,249627,74,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.382,136.028,spotify:track:6xpDh0dXrkVp0Po1qrHUd8,"{'dup_id': 2, 'num_dup': 2, 'dup_loc0': 2, 'dup_loc1': 3, 'dup_loc2': 4}",spotify:track:43NhiKnrtGqztxDqXrcUux,spotify:track:4RNeJ1qy9feTpgCI8xxQM1,spotify:track:6xpDh0dXrkVp0Po1qrHUd8,2.0,2.0,blink-182,spotify:artist:6FBDaR13swtiWwGhX1WQsP,,,,,,,,,,,,
5,Alive,alive,Empire of the Sun,Ice On The Dune,2013-01-01,No,204591,67,0.524,0.885,5,-3.079,1,0.037,0.0997,0.0,0.0708,0.395,119.954,spotify:track:5WBnKCEsPwsvWHUZmLjS3s,"{'dup_id': 6, 'num_dup': 1, 'dup_loc0': 6, 'dup_loc1': 8}",spotify:track:5WBnKCEsPwsvWHUZmLjS3s,,,6.0,1.0,Empire of the Sun,spotify:artist:67hb7towEyKvt5Z8Bx306c,,,,,,,,,,,,
6,On The Floor,on_the_floor,"Jennifer Lopez, Pitbull",LOVE?,2011-01-01,No,284867,63,0.73,0.777,3,-5.199,0,0.0479,0.108,0.000467,0.069,0.591,130.0,spotify:track:20zQZVyUNPbq8kZACdgYrh,"{'dup_id': -1, 'num_dup': 0}",spotify:track:20zQZVyUNPbq8kZACdgYrh,,,-1.0,0.0,Jennifer Lopez,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg,,,,,,,,,,
7,น้ำแดงน้ำส้ม,____________,JV.JARVIS,น้ำแดงน้ำส้ม,2021-04-09,No,156373,73,0.845,0.631,9,-9.567,1,0.217,0.456,2.13e-06,0.137,0.526,132.084,spotify:track:1xxJiB2B3rMw8g85PPtcN7,"{'dup_id': -1, 'num_dup': 0}",spotify:track:1xxJiB2B3rMw8g85PPtcN7,,,-1.0,0.0,JV.JARVIS,spotify:artist:3RukKIu27TAGLJ4VT5mNRz,,,,,,,,,,,,
8,Alive,alive,Krewella,Play Hard EP,2012-06-18,No,290760,59,0.663,0.822,9,-2.909,1,0.0557,0.00413,0.00318,0.234,0.567,128.002,spotify:track:2SHnUyZq0zwmvRIl4WY77G,"{'dup_id': 5, 'num_dup': 2, 'dup_loc0': 5, 'dup_loc1': 7, 'dup_loc2': 9}",spotify:track:2SHnUyZq0zwmvRIl4WY77G,,,5.0,2.0,Krewella,spotify:artist:0Cd6nHYwecCNM1sVEXKlYr,,,,,,,,,,,,
9,Симпл димпл поп ит сквиш (Slowed + Reverb) [Remix],__________________________slowed___reverb___remix_,"M&A, Бэтси",Симпл димпл поп ит сквиш (Slowed + Reverb) [Remix],2021-07-07,No,176542,44,0.942,0.566,11,-6.324,0,0.0469,0.04,0.00255,0.0992,0.143,102.38,spotify:track:6WHei8TotCpUYMoEn0sEMw,"{'dup_id': -1, 'num_dup': 0}",spotify:track:6WHei8TotCpUYMoEn0sEMw,,,-1.0,0.0,M&A,spotify:artist:67UFmcrRe4inOD0dzQzZW8,Бэтси,spotify:artist:20i9WsgPrMOb0x7Jobc4Lc,,,,,,,,,,
10,10 Freaky Girls (with 21 Savage),10_freaky_girls__with_21_savage_,"Metro Boomin, 21 Savage",NOT ALL HEROES WEAR CAPES,2018-11-02,No,208293,0,0.81,0.353,6,-9.931,0,0.31,0.588,0.0,0.102,0.0727,88.031,spotify:track:43lYaovU2FoeuBMNusVVVW,"{'dup_id': -1, 'num_dup': 0}",spotify:track:43lYaovU2FoeuBMNusVVVW,,,-1.0,0.0,Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,,,,,,,,,,
